Country,Year,GDP/Cap
Luxembourg,2017,44415.0
Luxembourg,2018,50117.0
Luxembourg,2019,57744.0
Luxembourg,2020,61474.0
Luxembourg,2021,63386.0
Luxembourg,2022,64842.0
Malaysia,2016,4336.0
Malaysia,2017,5587.0
Malaysia,2018,9041.0
Malaysia,2019,9955.0
Malaysia,2020,10259.0
Malaysia,2021,11378.0
Malaysia,2022,11414.0
Mexico,2016,3928.0
Mexico,2017,8278.0
Mexico,2018,9271.0
Mexico,2019,9606.0
Mexico,2020,9278.0
Mexico,2021,9673.0
Mexico,2022,9849.0
Morocco,2016,39780.0
Morocco,2017,61195.0
Morocco,2018,81274.0
Morocco,2019,2919.0
Morocco,2020,3083.0
Morocco,2021,3278.0
Morocco,2022,3282.0
Netherlands,2016,29240.0
Netherlands,2017,41857.0
Netherlands,2018,50744.0
Netherlands,2019,45179.0
Netherlands,2020,48990.0
Netherlands,2021,53580.0
Netherlands,2022,53053.0
New Zealand,2016,17184.0
New Zealand,2017,27741.0
New Zealand,2018,33543.0
New Zealand,2019,38458.0
New Zealand,2020,43687.0
New Zealand,2021,43836.0
New Zealand,2022,43229.0
Nicaragua,2016,5733.0
Nicaragua,2017,8555.0
Nicaragua,2018,9779.0
Nicaragua,2019,12757.0
Nicaragua,2020,13957.0
Nicaragua,2021,13405.0
Nicaragua,2022,12885.0
Nigeria,2016,468.0
Nigeria,2017,1268.0
Nigeria,2018,2292.0
Nigeria,2019,2730.0
Nigeria,2020,1969.0
Nigeria,2021,2154.0
Nigeria,2022,2361.0
Norway,2016,34814.0
Norway,2017,66680.0
Norway,2018,87754.0
Norway,2019,74195.0
Norway,2020,75221.0
Norway,2021,81336.0
Norway,2022,74986.0
Panama,2016,16806.0
Panama,2017,26026.0
Panama,2018,37273.0
Panama,2019,54092.0
Panama,2020,59945.0
Panama,2021,62102.0
Panama,2022,63990.0
Paraguay,2016,17720.0
Paraguay,2017,22846.0
Paraguay,2018,29762.0
Paraguay,2019,36164.0
Paraguay,2020,39593.0
Paraguay,2021,40921.0
Paraguay,2022,41013.0
Peru,2016,76918.0
Peru,2017,2730.0
Peru,2018,5082.0
Peru,2019,6229.0
Peru,2020,6711.0
Peru,2021,6941.0
Peru,2022,6978.0
Philippines,2016,1177.0
Philippines,2017,1194.0
Philippines,2018,2124.0
Philippines,2019,2867.0
Philippines,2020,2982.0
Philippines,2021,3103.0
Philippines,2022,3324.0
Poland,2016,3700.0
Poland,2017,7979.0
Poland,2018,12519.0
Poland,2019,12563.0
Poland,2020,13872.0
Poland,2021,15490.0
Poland,2022,15727.0
Portugal,2016,11705.0
Portugal,2017,18763.0
Portugal,2018,22450.0
Portugal,2019,19223.0
Portugal,2020,21515.0
Portugal,2021,23626.0
Portugal,2022,23350.0
Romania,2016,1640.0
Romania,2017,4597.0
Romania,2018,8120.0
Romania,2019,8928.0
Romania,2020,10771.0
Romania,2021,12387.0
Romania,2022,12914.0
Saudi Arabia,2016,7680.0
Saudi Arabia,2017,13792.0
Saudi Arabia,2018,19263.0
Saudi Arabia,2019,20628.0
Saudi Arabia,2020,20802.0
Saudi Arabia,2021,23337.0
Saudi Arabia,2022,23140.0
Singapore,2016,24905.0
Singapore,2017,29962.0
Singapore,2018,46736.0
Singapore,2019,55077.0
Singapore,2020,59890.0
Singapore,2021,64821.0
Singapore,2022,64103.0
Slovakia,2016,40410.0
Slovakia,2017,61342.0
Slovakia,2018,77947.0
Slovakia,2019,88468.0
Slovakia,2020,93104.0
Slovakia,2021,96613.0
Slovakia,2022,98851.0
South Africa,2016,3799.0
South Africa,2017,5384.0
South Africa,2018,7329.0
South Africa,2019,5731.0
South Africa,2020,6122.0
South Africa,2021,6369.0
South Africa,2022,6001.0
Spain,2016,15447.0
Spain,2017,26199.0
Spain,2018,30273.0
Spain,2019,25607.0
Spain,2020,28137.0
Spain,2021,30458.0
Spain,2022,29816.0
Sweden,2016,30251.0
Sweden,2017,43394.0
Sweden,2018,52801.0
Sweden,2019,51726.0
Sweden,2020,54621.0
Sweden,2021,55704.0
Sweden,2022,52896.0
Switzerland,2016,50481.0
Switzerland,2017,56933.0
Switzerland,2018,77277.0
Switzerland,2019,84629.0
Switzerland,2020,83313.0
Switzerland,2021,86315.0
Switzerland,2022,85135.0
Thailand,2016,2847.0
Thailand,2017,2894.0
Thailand,2018,5076.0
Thailand,2019,5840.0
Thailand,2020,6578.0
Thailand,2021,7274.0
Thailand,2022,7785.0
Turkey,2016,3988.0
Turkey,2017,7456.0
Turkey,2018,10742.0
Turkey,2019,11006.0
Turkey,2020,10590.0
Turkey,2021,9453.0
Turkey,2022,9127.0
Ukraine,2016,76792.0
Ukraine,2017,1903.0
Ukraine,2018,91031.0
Ukraine,2019,2970.0
Ukraine,2020,95553.0
Ukraine,2021,98807.0
Ukraine,2022,3496.0
United Arab Emirates,2016,27578.0
United Arab Emirates,2017,39880.0
United Arab Emirates,2018,33893.0
United Arab Emirates,2019,38663.0
United Arab Emirates,2020,40645.0
United Arab Emirates,2021,43839.0
United Arab Emirates,2022,43103.0
United Kingdom,2016,23159.0
United Kingdom,2017,42012.0
United Kingdom,2018,39105.0
United Kingdom,2019,44530.0
United Kingdom,2020,39901.0
United Kingdom,2021,42557.0
United Kingdom,2022,41855.0
Uruguay,2016,30066.0
Uruguay,2017,33781.0
Uruguay,2018,45125.0
Uruguay,2019,53274.0
Uruguay,2020,55578.0
Uruguay,2021,56479.0
Uruguay,2022,56604.0
Viet Nam,2016,53684.0
Viet Nam,2017,687.0
Viet Nam,2018,1318.0
Viet Nam,2019,2085.0
Viet Nam,2020,2366.0
Viet Nam,2021,2566.0
Viet Nam,2022,2715.0
